X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS
145.149401252988753,-37.966595887756526,44755,44162,43712,SPRINGVALE_RD S of HEATHERTON_RD,INTERSECTION,Left Missing,SPRINGVALE_RD N OF HEATHERTON_RD,2400,STATE (BELL/SPRINGVALE) HIGHWAY,SPRINGVALE ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0
144.258438804768986,-36.999823986038642,44756,44563,49691,MIDLAND HWY SWBD 200M SOUTH-WEST OF CALDER HWY @ 89.9KM FROM BALLARAT,MIDBLOCK,All Moves,MIDLAND HWY N200M SOUTH-WEST OF CALDER HWY @ 89.9KM FROM BALLARAT,2590,MIDLAND HIGHWAY,VICTORIA ROAD,APARX,Classification,Greater than 10 Years,19,1997,2100,220,0.1
145.053900601752218,-37.960190901375576,44757,44456,51273,NEPEAN HWY NW OF SHOPPING CENTRE ACCESS,INTERSECTION,Left Missing,NEPEAN HWY/SHOPPING CENTRE ACCESS,2660,NEPEAN HIGHWAY,NEPEAN HIGHWAY,SCATS,Scats,Greater than 10 Years,11,2005,39000,0,0
145.211545311648962,-37.969640758637304,44758,44955,46197,HEATHERTON_RD E of MENZIES_AV,INTERSECTION,All Moves,HEATHERTON RD/JAMES ST/MENZIES AVE,5970,HEATHERTON ROAD,HEATHERTON ROAD,SCATS,Scats,Less than 2 Years,0,2016,14000,0,0
145.225593296678056,-37.847419675669563,44759,44065,46273,BORONIA_RD W of WANTIRNA_RD,INTERSECTION,All Moves,BORONIA RD/WANTIRNA RD,5920,BORONIA ROAD,BORONIA ROAD,SCATS,Scats,Less than 2 Years,0,2016,17000,0,0
145.055059716024317,-37.840031595751661,44760,44163,51003,BURKE_RD N OF PINE_AVE,INTERSECTION,All Moves,BURKE RD NR PINE AVE,5874,BURKE ROAD,BURKE ROAD,SCATS,Scats,Greater than 10 Years,21,1995,14000,0,0
142.379229738721676,-36.450382373800622,44761,44564,41743,HENTY HWY (249.2) S BD S OF DIMBOOLA MINYIP RD,MIDBLOCK,All Moves,HENTY HWY (249.2) S OF DIMBOOLA MINYIP RD,2620,HENTY HIGHWAY,HENTY HIGHWAY,APARX,Classification,Greater than 10 Years,25,1991,270,40,0.17
145.064384723196383,-37.870277186603282,44762,44859,44227,S.E.FREEWAY MIDDLE LANE NWBD BTWN WINTON RD O/PASS AND MOIRA ST O/PASS,MIDBLOCK,Incomplete Through,S.E.FREEWAY SLOW LANE BTWN WINTON RD O/PASS AND MOIRA ST O/PASS,2000,MONASH FREEWAY,MONASH FREEWAY,IDCLS,Freeway Data Station,Greater than 10 Years,18,1998,24000,2800,0.11
145.084080494860018,-37.702809902749792,44763,44457,52526,WATSONIA RD S OF GRIMSHAW ST,INTERSECTION,All Moves,GRIMSHAW ST/WATSONIA RD/MACORNA ST,9999,Missing Data,WATSONIA ROAD,SCATS,Scats,Between 5 and 10 Years,8,2008,7500,0,0
145.016833712029978,-37.915744028288614,44764,44956,45701,CENTRE RD W OF NEPEAN HWY,INTERSECTION,All Moves,NEPEAN HWY/CENTRE RD,5304,CENTRE ROAD,CENTRE ROAD,SCATS,Scats,Less than 2 Years,1,2015,0,0,0
